,제품명,가격,화면 크기,CPU 종류,운영체제(OS),화면 비율,광시야각,메모리 타입,메모리,저장 용량,저장장치 종류,GPU 칩셋,HDMI,웹캠(HD),배터리,어댑터,두께,무게,USB,ㅗ형 방향키,ㅡ형 방향키
36,ASUS 비보북 프로 15 OLED M3500QC-L1085,"1,170,000",39.62cm(15.6인치),라이젠7-4세대,미포함(프리도스),16:9,,DDR4,16GB,512GB,M.2(NVMe),RTX3050,○,○,63Wh,120W,19.9mm,1.65kg,총4개,○,
37,레노버 LEGION 5 17ACH R7 3060,"1,357,000",43.9cm(17.3인치),라이젠7-4세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),RTX3060,,○,80Wh,,26.2mm,2.9kg,총6개,○,
38,LG전자 2022 그램16(12세대) 16Z90Q-GA7WK,"2,129,690",40.6cm(16인치),코어i7-12세대,윈도우11홈,16:10,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,,80Wh,65W,16.8mm,1.199kg,총4개,○,
39,LG전자 2021 울트라PC 15U50P-GR56K,"808,400",39.6cm(15.6인치),코어i5-11세대,윈도우10,16:9,,DDR4,8GB,256GB,M.2(NVMe),Iris Xe,○,○,51Wh,65W,19.9mm,1.8kg,총3개,○,
40,레노버 LEGION 5i Pro 16IAH7H I7 STORM 3060 W11P,"2,169,000",40.6cm(16인치),코어i7-12세대,윈도우11프로,16:10,○,DDR5,16GB,512GB,M.2(NVMe),RTX3060,,○,80Wh,,19.9mm,2.49kg,총6개,○,
41,APPLE 2021 맥북프로16 MK183KH/A,"3,052,640",41.05cm(16.2인치),실리콘 M1 PRO,macOS Monterey,,,,16GB,512GB,SSD,M1 PRO 16 core,○,,100Wh,140W,16.8mm,2.1kg,총3개,○,
42,LG전자 2022 그램17 17ZD95P-GX56K,"1,357,970",43.1cm(17인치),코어i5-11세대,미포함(프리도스),16:10,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,17.8mm,1.35kg,총4개,○,
43,LG전자 2022 그램16 16ZD95P-GX5LK,"1,266,280",40.6cm(16인치),코어i5-11세대,미포함(프리도스),16:10,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,16.8mm,1.19kg,총4개,○,
44,HP 14s-fq2020AU,"478,990",35.6cm(14인치),라이젠5-4세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),Radeon Graphics,○,○,41Wh,,17.9mm,1.46kg,총3개,,○
45,ASUS 비보북 X513EA-BQ031,"634,300",39.62cm(15.6인치),코어i5-11세대,미포함(프리도스),16:9,,DDR4,8GB,256GB,M.2(NVMe),Iris Xe,○,○,42Wh,45W,19.9mm,1.8kg,총4개,○,
46,레노버 LEGION 5i Pro 16IAH7H I7 STORM 3070Ti,"2,679,000",40.6cm(16인치),코어i7-12세대,미포함(프리도스),16:10,○,DDR5,32GB,512GB,M.2(NVMe),RTX3070 Ti,,○,80Wh,,19.9mm,2.49kg,총6개,○,
47,ASUS ROG SCAR G733ZM-LL035,"2,199,000",43.94cm(17.3인치),코어i7-12세대,미포함(프리도스),16:9,,DDR5,16GB,1TB,M.2(NVMe),RTX3060,,,90Wh,240W,28.3mm,2.9kg,총4개,○,
48,MSI GP시리즈 GP76 Leopard 11UG WIN10 32GB램,"1,756,850",43.94cm(17.3인치),코어i7-11세대,윈도우10,16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3070,○,○,65Wh,280W,25.9mm,2.9kg,총3개,○,
49,ASUS TUF Gaming F17 FX707ZM-HX037,"1,630,000",43.94cm(17.3인치),코어i7-12세대,미포함(프리도스),16:9,,DDR5,8GB,512GB,M.2(NVMe),RTX3060,,○,90Wh,240W,25.4mm,2.6kg,총4개,○,
