,제품명,가격,화면 크기,CPU 종류,운영체제(OS),화면 비율,광시야각,메모리 타입,메모리,저장 용량,저장장치 종류,GPU 칩셋,HDMI,웹캠(HD),배터리,어댑터,두께,무게,USB,ㅗ형 방향키,ㅡ형 방향키
206,Razer BLADE 15 Advanced 12Gen R3080Ti 4K,"5,609,000",39.62cm(15.6인치),코어i9-12세대,윈도우11홈,16:9,○,DDR5,32GB,1TB,M.2(NVMe),RTX3080 Ti,,,80Wh,230W,16.99mm,2.01kg,총5개,,○
207,삼성전자 갤럭시북 프로 NT950XDC-XC72S,"1,719,990",39.6cm(15.6인치),코어i7-11세대,윈도우11홈,16:9,○,LPDDR4x(온보드),16GB,512GB,M.2(NVMe),MX450,○,○,68Wh,65W,13.3mm,1.15kg,총3개,○,
208,MSI 모던시리즈 모던14 B5M-R7 32GB램,"827,190",35.56cm(14인치),라이젠7-4세대,미포함(프리도스),16:9,○,DDR4,32GB,512GB,M.2(NVMe),Radeon Graphics,○,○,39Wh,65W,18.1mm,1.3kg,총3개,○,
209,DELL 에일리언웨어 x17 R2 WP04KR,"4,310,000",43.9cm(17.3인치),코어i7-12세대,윈도우11프로,16:9,,DDR5,32GB,1TB,M.2(NVMe),RTX3070 Ti,,○,87Wh,240W,21.4mm,2.96kg,총4개,○,
210,레노버 V15 IGL 82C30051KR,"298,990",39.6cm(15.6인치),셀러론,미포함(프리도스),16:9,,DDR4,4GB,256GB,M.2(NVMe),UHD 600,○,,30Wh,,19.9mm,1.85kg,총3개,,○
211,에이서 스위프트 X SFX14-41G MAX,"1,028,200",35.56cm(14인치),라이젠5-4세대,리눅스,16:9,○,LPDDR4x(온보드),16GB,512GB,M.2(NVMe),RTX3050 Ti,,○,59Wh,90W,17.9mm,1.39kg,총3개,○,
212,MSI 모던시리즈 모던14 B11MOU-i5 베이지 무스,"836,780",35.56cm(14인치),코어i5-11세대,미포함(프리도스),16:9,○,DDR4,8GB,512GB,M.2(NVMe),,○,○,52Wh,65W,18.1mm,1.3kg,총3개,○,
213,GIGABYTE AERO 5 XE4 OLED,"2,859,000",39.6cm(15.6인치),코어i7-12세대,미포함(프리도스),16:9,,DDR4,16GB,1TB,M.2(NVMe),RTX3070 Ti,,○,99Wh,230W,23.6mm,2.3kg,총4개,○,
214,MSI GP시리즈 GP76 Leopard 11UG WIN10,"1,748,990",43.94cm(17.3인치),코어i7-11세대,윈도우10,16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3070,○,○,65Wh,280W,25.9mm,2.9kg,총3개,○,
215,삼성전자 갤럭시북2 프로360 NT930QEW-A51A,"1,754,000",33.7cm(13.3인치),코어i5-12세대,미포함(프리도스),16:9,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),Iris Xe,,,63Wh,65W,11.5mm,1.04kg,총3개,○,
216,MSI 크로스헤어 15 B12UGSZ WIN11 32GB램,"2,903,030",39.6cm(15.6인치),코어i9-12세대,윈도우11(설치),16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3070 Ti,○,○,90Wh,240W,26.9mm,2.47kg,총4개,○,
217,MSI GF시리즈 Sword GF66 A11UD 화이트 16GB램,"1,228,000",39.62cm(15.6인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3050 Ti,○,○,53.5Wh,150W,24.9mm,2.25kg,총4개,○,
218,한성컴퓨터 TFX5560U 세잔북,"820,000",39.62cm(15.6인치),라이젠5-4세대,미포함(프리도스),16:9,○,DDR4,16GB,500GB,M.2(NVMe),Radeon Graphics,○,○,53.58Wh,65W,21mm,1.6kg,총4개,,○
219,MSI GP시리즈 Vector GP66 12UH,"3,130,000",39.6cm(15.6인치),코어i9-12세대,미포함(프리도스),16:9,○,DDR4,16GB,1TB,M.2(NVMe),RTX3080,○,○,65Wh,280W,23.4mm,2.38kg,총4개,○,
220,레노버 LEGION 5 15ACH R7 3060 PRO W10P,"1,530,000",39.6cm(15.6인치),라이젠7-4세대,윈도우10 프로,16:9,○,DDR4,8GB,512GB,M.2(NVMe),RTX3060,,○,80Wh,,22.5mm,2.4kg,총6개,○,
221,삼성전자 갤럭시북 프로 NT950XDB-K71A,"1,699,200",39.6cm(15.6인치),코어i7-11세대,윈도우10,16:9,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,68Wh,65W,11.7mm,1.05kg,총3개,○,
222,LG전자 2022 울트라PC 13UD70Q-GX30K,"578,430",33.7cm(13.3인치),라이젠3-4세대,미포함(프리도스),16:9,○,DDR4,8GB,128GB,M.2(NVMe),Radeon Graphics,○,○,51Wh,65W,15.3mm,980g,총3개,○,
223,LG전자 2021 그램17 17ZD90P-GX30K WIN10,"1,489,990",43.1cm(17인치),코어i3-11세대,윈도우10,16:10,○,LPDDR4x(온보드),8GB,256GB,M.2(NVMe),UHD Graphics,○,○,80Wh,65W,17.8mm,1.35kg,총4개,○,
224,HP 470 G8 4J8P5PC,"1,198,990",43.9cm(17.3인치),코어i7-11세대,윈도우10 프로,16:9,○,DDR4,8GB,512GB,SSD,Iris Xe,○,○,41Wh,45W,19.9mm,2.085kg,총3개,,○
225,레노버 게이밍 3 15ACH R5 3050,"868,490",39.6cm(15.6인치),라이젠5-4세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),RTX3050,,○,45Wh,,24.2mm,2.25kg,총3개,○,
226,MSI GP시리즈 Vector GP76 12UGS QHD WIN10 64GB램,"3,130,000",43.9cm(17.3인치),코어i7-12세대,윈도우10,16:9,○,DDR4,64GB,1TB,M.2(NVMe),RTX3070 Ti,○,○,65Wh,280W,25.9mm,2.9kg,총4개,○,
227,ASUS 비보북 16X X1603ZA-MB139,"849,000",40.8cm(16인치),코어i5-12세대,미포함(프리도스),16:10,○,DDR4,8GB,256GB,M.2(NVMe),Iris Xe,○,○,50Wh,90W,19.9mm,1.87kg,총4개,○,
228,레노버 씽크북 15 G3 ACL-21A4000CKR,"710,710",39.62cm(15.6인치),라이젠7-4세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),Radeon Graphics,○,○,45Wh,,18.9mm,1.7kg,총4개,,○
229,한성컴퓨터 TFX4150H,"999,000",35.6cm(14인치),코어i5-11세대,미포함(프리도스),16:10,○,DDR4,16GB,500GB,M.2(NVMe),Iris Xe,,○,53Wh,90W,16.4mm,1kg,총4개,,○
230,레노버 아이디어패드 Slim5 Pro 14ITL6 82L3004PKR,"1,049,000",35.5cm(14인치),코어i7-11세대,미포함(프리도스),16:10,○,DDR4,16GB,512GB,M.2(NVMe),MX450,○,,56.5Wh,,17.9mm,1.45kg,총4개,,○
231,레노버 아이디어패드 Slim5 Pro 14ITL6 82L3004EKR,"799,000",35.5cm(14인치),코어i5-11세대,미포함(프리도스),16:10,○,DDR4,8GB,512GB,M.2(NVMe),MX450,○,,56.5Wh,,17.9mm,1.45kg,총4개,,○
232,MSI 프레스티지 14 EVO A11M-i7 W10,"999,000",35.56cm(14인치),코어i7-11세대,윈도우10,16:9,○,LPDDR4(온보드),16GB,512GB,M.2(NVMe),Iris Xe,,○,52Wh,65W,15.9mm,1.29kg,총3개,○,
233,레노버 아이디어패드 Slim3-17ALC R5 W11,"788,990",43.94cm(17.3인치),라이젠5-4세대,윈도우11홈,16:9,○,DDR4,8GB,256GB,M.2(NVMe),Radeon Graphics,○,○,38Wh,,19.9mm,2.1kg,총3개,,○
234,레노버 아이디어패드 Slim3-15ITL 5D,"616,260",39.62cm(15.6인치),코어i5-11세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),Iris Xe,○,○,,,19.9mm,1.65kg,총3개,,○
235,ASUS 젠북 UM425QA-KI064,"1,178,990",35.56cm(14인치),라이젠7-4세대,미포함(프리도스),16:9,,LPDDR4x(온보드),16GB,512GB,M.2(NVMe),Radeon Graphics,,○,63Wh,100W,16.8mm,1.3kg,총3개,○,
236,MSI GF시리즈 Sword GF76 A11UE 화이트 WIN10,"1,470,820",43.94cm(17.3인치),코어i7-11세대,윈도우10,16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3060,○,○,53.5Wh,180W,25.2mm,2.6kg,총4개,○,
237,삼성전자 갤럭시북2 프로360 NT950QEW-A51A,"1,808,000",39.6cm(15.6인치),코어i5-12세대,미포함(프리도스),16:9,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),Iris Xe,,,68Wh,65W,11.9mm,1.41kg,총3개,○,
238,MSI GF시리즈 Sword GF76 A12UE 32GB램,"1,820,000",43.9cm(17.3인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3060,○,○,53.5Wh,240W,25.2mm,2.6kg,총4개,○,
239,삼성전자 갤럭시북 프로 NT950XDX-G51A,"1,369,990",39.6cm(15.6인치),코어i5-11세대,미포함(프리도스),16:9,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),MX450,○,○,68Wh,65W,13.3mm,1.15kg,총3개,○,
240,레노버 게이밍 3i 15IHU i5 3050,"868,880",39.6cm(15.6인치),코어i5-11세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),RTX3050,,○,45Wh,,24.2mm,2.2kg,총3개,○,
241,주연테크 캐리북e J3GWUP,"281,180",35.56cm(14인치),셀러론,윈도우10 프로,16:9,○,LPDDR4x(온보드),4GB,128GB,eMMC,UHD 600,,,38Wh,,16.3mm,1.45kg,총3개,○,
242,MSI GF시리즈 Sword GF76 A12UE WIN10 64GB램,"2,123,990",43.9cm(17.3인치),코어i7-12세대,윈도우10,16:9,○,DDR4,64GB,512GB,M.2(NVMe),RTX3060,○,○,53.5Wh,240W,25.2mm,2.6kg,총4개,○,
243,HP 15s-eq2242AU W11 8GB램,"588,990",39.6cm(15.6인치),라이젠3-4세대,윈도우11홈,16:9,○,DDR4,8GB,500GB,M.2(NVMe),Radeon Graphics,○,○,,45W,17.99mm,1.69kg,총3개,,○
244,레노버 씽크패드 P15 Gen2 20YQ007QKR 32GB램,"6,488,990",39.62cm(15.6인치),제온,윈도우11프로,16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX A5000,,○,94Wh,230W,31.45mm,2.87kg,총5개,○,
245,레노버 게이밍 3 15ACH R5 3060 PRO,"1,131,000",39.6cm(15.6인치),라이젠5-4세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),RTX3060,,○,60Wh,,24.2mm,2.25kg,총3개,○,
246,ASUS 젠북 듀오 UX482EG-KA098W,"1,249,000",35.5cm(14인치),코어i5-11세대,윈도우11홈,16:9,,LPDDR4x(온보드),16GB,512GB,M.2(NVMe),MX450,○,○,70Wh,65W,17.3mm,1.62kg,총3개,○,
247,ASUS ROG 제피러스 M16 GU603ZX-K8001W,"4,349,000",40.8cm(16인치),코어i9-12세대,윈도우11홈,16:10,,DDR5,32GB,2TB,M.2(NVMe),RTX3080 Ti,,○,90Wh,240W,19.9mm,1.9kg,총4개,○,
248,MSI GP시리즈 GP66 Leopard 11UG WIN10 32GB램,"1,798,990",39.62cm(15.6인치),코어i7-11세대,윈도우10,16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3070,○,○,65Wh,280W,23.4mm,2.38kg,총3개,○,
249,MSI 모던시리즈 모던14 B5M-R7 WIN10 16GB램,"845,990",35.56cm(14인치),라이젠7-4세대,윈도우10,16:9,○,DDR4,16GB,512GB,M.2(NVMe),Radeon Graphics,○,○,39Wh,65W,18.1mm,1.3kg,총3개,○,
250,MSI Stealth 15M B12UE,"1,740,000",39.6cm(15.6인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3060,○,○,53.8Wh,180W,17mm,1.8kg,총4개,○,
251,Microsoft 서피스 랩탑 스튜디오 ADI-00019 기업용,"3,408,990",36.6cm(14.4인치),코어i7-11세대,윈도우 프로(버전선택),3:2,,LPDDR4x(온보드),32GB,1TB,SSD,RTX3050 Ti,,,,95W,18.94mm,1.82kg,총2개,,○
252,MSI 모던시리즈 모던14 B5M-R7 WIN10,"740,710",35.56cm(14인치),라이젠7-4세대,윈도우10,16:9,○,DDR4,8GB,512GB,M.2(NVMe),Radeon Graphics,○,○,39Wh,65W,18.1mm,1.3kg,총3개,○,
253,MSI GP시리즈 GP76 Leopard 11UG 32GB램,"1,787,620",43.94cm(17.3인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3070,○,○,65Wh,280W,25.9mm,2.9kg,총3개,○,
254,LG전자 2022 그램16 16ZD95P-GX56K,"1,371,280",40.6cm(16인치),코어i5-11세대,미포함(프리도스),16:10,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,16.8mm,1.19kg,총4개,○,
255,DELL 프리시전 M7560 i9 11950 A3000 UHD 64GB램,"6,039,870",39.62cm(15.6인치),코어i9-11세대,윈도우10 프로,16:9,,DDR4,64GB,1TB,M.2(NVMe),RTX A3000,,,95Wh,,27.36mm,2.45kg,총4개,,○
256,MSI GF시리즈 Sword GF76 A11UE 화이트 32GB램,"1,533,510",43.94cm(17.3인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3060,○,○,53.5Wh,180W,25.2mm,2.6kg,총4개,○,
257,MSI GF시리즈 Sword GF66 A11UE 화이트 WIN10 32GB램,"1,466,390",39.62cm(15.6인치),코어i7-11세대,윈도우10,16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3060,○,○,53.5Wh,180W,24.9mm,2.25kg,총4개,○,
258,디클 클릭북 D14 i1410,"299,000",35.8cm(14.1인치),셀러론,윈도우10,16:9,○,DDR4,4GB,128GB,M.2(SATA),UHD 600,,,,,15mm,1.3kg,총2개,○,
259,MSI 모던시리즈 모던14 B5M-R5 WIN10,"688,700",35.56cm(14인치),라이젠5-4세대,윈도우10,16:9,○,DDR4,8GB,512GB,M.2(NVMe),Radeon Graphics,○,○,39Wh,65W,18.1mm,1.3kg,총3개,○,
260,삼성전자 갤럭시북 프로 NT950XDY-A51A,"1,289,900",39.6cm(15.6인치),코어i5-11세대,미포함(프리도스),16:9,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,68Wh,65W,11.7mm,1.05kg,총3개,○,
261,MSI GF시리즈 Sword GF66 A11UE 블랙 16GB램,"1,345,000",39.62cm(15.6인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3060,○,○,53.5Wh,180W,24.9mm,2.25kg,총4개,○,
262,MSI 프레스티지 15 A11UC WIN10 64GB램,"1,840,000",39.62cm(15.6인치),코어i7-11세대,윈도우10,16:9,○,DDR4,64GB,512GB,M.2(NVMe),RTX3050,○,○,82Wh,90W,18.9mm,1.69kg,총4개,○,
263,MSI 크리에이터 Z17 A12UGST W11,"3,630,000",43.18cm(17인치),코어i7-12세대,윈도우11프로,16:10,,DDR5,32GB,1TB,M.2(NVMe),RTX3070 Ti,○,,90Wh,240W,19mm,2.49kg,총3개,○,
264,MSI 써밋 E13 Flip EVO A11MT 화이트,"1,698,990",34.03cm(13.4인치),코어i7-11세대,윈도우10 프로,16:10,○,LPDDR4x(온보드),32GB,1TB,M.2(NVMe),Iris Xe,,○,70Wh,65W,14.9mm,1.35kg,총4개,○,
265,MSI GF시리즈 Sword GF76 A12UD,"1,530,000",43.9cm(17.3인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR4,8GB,512GB,M.2(NVMe),RTX3050 Ti,○,○,53.5Wh,180W,25.2mm,2.6kg,총4개,○,
266,MSI 모던시리즈 모던14 B5M-R7 64GB램,"1,062,190",35.56cm(14인치),라이젠7-4세대,미포함(프리도스),16:9,○,DDR4,64GB,512GB,M.2(NVMe),Radeon Graphics,○,○,39Wh,65W,18.1mm,1.3kg,총3개,○,
267,한성컴퓨터 TFG5276XG,"1,899,000",39.62cm(15.6인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR5,16GB,500GB,M.2(NVMe),RTX3060,,○,62.32Wh,230W,20mm,1.7kg,총4개,○,
268,MSI GP시리즈 Vector GP76 12UGS QHD,"2,499,000",43.9cm(17.3인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR4,16GB,1TB,M.2(NVMe),RTX3070 Ti,○,○,65Wh,280W,25.9mm,2.9kg,총4개,○,
269,MSI 알파 15 B5EEK AMD 어드밴티지 에디션,"1,398,000",39.62cm(15.6인치),라이젠7-4세대,미포함(프리도스),16:9,○,DDR4,8GB,512GB,M.2(NVMe),라데온 RX 6600M,○,○,90Wh,180W,23.95mm,2.35kg,총4개,○,
270,한성컴퓨터 TFG7276LC,"2,259,000",43.94cm(17.3인치),코어i9-12세대,미포함(프리도스),16:9,○,DDR5,16GB,500GB,M.2(NVMe),RTX3060,,○,62.32Wh,230W,25mm,2.5kg,총4개,○,
271,MSI GF시리즈 Sword GF66 A11UE 화이트 WIN10 16GB램,"1,410,930",39.62cm(15.6인치),코어i7-11세대,윈도우10,16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3060,○,○,53.5Wh,180W,24.9mm,2.25kg,총4개,○,
272,MSI GF시리즈 Sword GF66 A12UGS 블랙 WIN11 32GB램,"2,070,000",39.6cm(15.6인치),코어i7-12세대,윈도우11(설치),16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3070 Ti,○,○,53.5Wh,240W,24.9mm,2.25kg,총4개,○,
273,MSI GF시리즈 Sword GF66 A11UE 블랙 WIN10 16GB램,"1,332,840",39.62cm(15.6인치),코어i7-11세대,윈도우10,16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3060,○,○,53.5Wh,180W,24.9mm,2.25kg,총4개,○,
274,MSI 모던시리즈 모던14 B5M-R7 WIN10 64GB램,"1,165,590",35.56cm(14인치),라이젠7-4세대,윈도우10,16:9,○,DDR4,64GB,512GB,M.2(NVMe),Radeon Graphics,○,○,39Wh,65W,18.1mm,1.3kg,총3개,○,
275,레노버 요가 Slim7 Carbon13ITL5 82EV005TKR,"1,233,930",33.7cm(13인치),코어i7-11세대,윈도우10,16:10,○,LPDDR4x(온보드),16GB,512GB,M.2(NVMe),Iris Xe,,,50Wh,,15mm,970g,총3개,,○
276,ASUS ROG SCAR G733ZM-LL035 WIN10,"2,975,990",43.94cm(17.3인치),코어i7-12세대,윈도우10,16:9,,DDR5,16GB,1TB,M.2(NVMe),RTX3060,,,90Wh,240W,28.3mm,2.9kg,총4개,○,
277,MSI GF시리즈 Sword GF76 A11SC 블랙 WIN10 16GB램,"1,219,990",43.94cm(17.3인치),코어i7-11세대,윈도우10,16:9,○,DDR4,16GB,512GB,M.2(NVMe),GTX1650,○,○,53.5Wh,150W,25.2mm,2.6kg,총4개,○,
278,ASUS ROG STRIX G17 G713RM-KH053 WIN10 16GB램,"1,780,000",43.94cm(17.3인치),라이젠7-5세대,윈도우10,16:9,,DDR5,16GB,512GB,M.2(NVMe),RTX3060,,,90Wh,240W,28.3mm,2.9kg,총4개,○,
279,레노버 LEGION 5 Pro 16ACH R7 STORM 3070 W10P,"2,199,000",40.6cm(16인치),라이젠7-4세대,윈도우10 프로,16:10,○,DDR4,32GB,512GB,M.2(NVMe),RTX3070,,○,80Wh,,21.7mm,2.59kg,총6개,○,
280,주연테크 리오나인 L9E35T,"1,149,000",43.94cm(17.3인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3050 Ti,○,○,49Wh,150W,23.5mm,2.39kg,총4개,○,
281,삼성전자 갤럭시북2 프로 5G NT955XED-KC51G,"2,178,990",39.6cm(15.6인치),코어i5-12세대,윈도우11홈,16:9,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,,68Wh,65W,11.7mm,1.16kg,총3개,○,
282,레노버 아이디어패드 Slim5-14ITL 5W M16,"1,080,000",35.5cm(14인치),코어i5-11세대,윈도우10,16:9,○,DDR4,16GB,256GB,M.2(NVMe),MX450,○,○,56.5Wh,65W,17.9mm,1.39kg,총3개,,○
283,레노버 요가 Slim7 Carbon13ITL5 82EV0049KR,"1,348,890",33.7cm(13인치),코어i7-11세대,윈도우10,16:10,○,LPDDR4x(온보드),16GB,1TB,M.2(NVMe),Iris Xe,,,50Wh,,15mm,970g,총3개,,○
284,레노버 아이디어패드 Slim5 Pro16IHU6 Superb i7 W10,"1,359,000",40.6cm(16인치),코어i7-11세대,윈도우10,16:10,○,DDR4,16GB,512GB,M.2(NVMe),MX450,○,○,75Wh,,18.4mm,1.9kg,총4개,○,
285,MSI 모던시리즈 모던14 B11M-i7 카본 그레이 16GB램,"784,800",35.56cm(14인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),,○,○,39Wh,65W,16.9mm,1.3kg,총3개,○,
286,MSI GF시리즈 Sword GF66 A12UE 화이트,"1,698,990",39.6cm(15.6인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3060,○,○,53.5Wh,240W,24.9mm,2.25kg,총4개,○,
287,삼성전자 갤럭시북 프로360 5G NT935QDB-KC71S,"1,898,730",33.7cm(13.3인치),코어i7-11세대,윈도우11홈,16:9,○,LPDDR4x(온보드),16GB,512GB,M.2(NVMe),Iris Xe,,○,63Wh,65W,11.5mm,1.07kg,총3개,○,
288,MSI 모던시리즈 모던14 B11M-i7 카본 그레이 WIN10 32GB램,"938,780",35.56cm(14인치),코어i7-11세대,윈도우10,16:9,○,DDR4,32GB,512GB,M.2(NVMe),,○,○,39Wh,65W,16.9mm,1.3kg,총3개,○,
289,레노버 게이밍 3 15ACH R7 3060 PRO W10,"1,469,000",39.6cm(15.6인치),라이젠7-4세대,윈도우10,16:9,○,DDR4,8GB,256GB,M.2(NVMe),RTX3060,,○,60Wh,,24.2mm,2.25kg,총3개,○,
290,MSI GF시리즈 Sword GF66 A12UC 화이트 64GB램,"1,765,280",39.6cm(15.6인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR4,64GB,512GB,M.2(NVMe),RTX3050,○,○,53.5Wh,180W,24.9mm,2.25kg,총4개,○,
291,GIGABYTE AERO 16 YE5 OLED,"4,579,000",40.8cm(16인치),코어i9-12세대,미포함(프리도스),16:10,,DDR5,32GB,2TB,M.2(NVMe),RTX3080 Ti,,,99Wh,230W,22.4mm,2.3kg,총3개,○,
292,레노버 요가 Slim7 Carbon 14ACN6 82L00054KR,"1,520,000",35.56cm(14인치),라이젠5-4세대,윈도우11홈,16:10,,LPDDR4x(온보드),16GB,512GB,M.2(NVMe),MX450,,○,61Wh,,14.9mm,1.09kg,총3개,,○
293,레노버 요가 Slim7-14 Intense Fabric,"1,399,000",35.56cm(14인치),코어i7-10세대,윈도우10,16:9,○,LPDDR4x(온보드),16GB,512GB,M.2(NVMe),MX350,,,60.7Wh,,14.9mm,1.5kg,총4개,,○
294,MSI GF시리즈 Sword GF66 A11UE 블랙,"1,299,000",39.62cm(15.6인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,8GB,512GB,M.2(NVMe),RTX3060,○,○,53.5Wh,180W,24.9mm,2.25kg,총4개,○,
295,ASUS TUF Gaming F17 FX707ZC-HX035 WIN11 32GB램,"1,750,000",43.94cm(17.3인치),코어i7-12세대,윈도우11(설치),16:9,,DDR5,32GB,512GB,M.2(NVMe),RTX3050,,○,56Wh,200W,25.4mm,2.6kg,총4개,○,
296,ASUS TUF Gaming F17 FX706HCB-HX144 16GB램,"1,083,240",43.94cm(17.3인치),코어i5-11세대,미포함(프리도스),16:9,,DDR4,16GB,512GB,M.2(NVMe),RTX3050,,○,48Wh,180W,24.8mm,2.6kg,총4개,○,
297,MSI GF시리즈 Sword GF76 A11UC 블랙 32GB램,"1,380,000",43.94cm(17.3인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3050,○,○,53.5Wh,150W,25.2mm,2.6kg,총4개,○,
298,한성컴퓨터 TFG5277XG,"2,359,000",39.62cm(15.6인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR5,16GB,500GB,M.2(NVMe),RTX3070 Ti,,○,62.32Wh,230W,20mm,1.7kg,총4개,○,
299,ASUS TUF Dash F15 FX516PR-AZ019,"1,670,000",39.62cm(15.6인치),코어i7-11세대,미포함(프리도스),16:9,,DDR4,16GB,1TB,M.2(NVMe),RTX3070,,,76Wh,200W,19.9mm,2kg,총4개,○,
300,레노버 플렉스 5 14ALC R5 W10,"1,247,000",35.5cm(14인치),라이젠5-4세대,윈도우10,16:9,○,DDR4,8GB,256GB,M.2(NVMe),Radeon Graphics,○,○,52.5Wh,,17.9mm,1.53kg,총3개,,○
301,삼성전자 갤럭시북2 프로 NT950XEV-G51A WIN11,"1,556,830",39.6cm(15.6인치),코어i5-12세대,윈도우11(설치),16:9,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),Arc A350M,○,,68Wh,65W,13.3mm,1.17kg,총3개,○,
302,삼성전자 갤럭시북S NT767XCL-KLTE,"949,000",33.7cm(13.3인치),코어i5-10세대,윈도우10,16:9,○,LPDDR4x(온보드),8GB,512GB,eUFS,UHD Graphics,,,42Wh,25W,11.8mm,950g,총2개,,○
303,MSI 모던시리즈 모던14 B11M-i7 카본 그레이 32GB램,"925,900",35.56cm(14인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,32GB,512GB,M.2(NVMe),,○,○,39Wh,65W,16.9mm,1.3kg,총3개,○,
304,MSI GF시리즈 Sword GF66 A11UD 화이트 32GB램,"1,366,000",39.62cm(15.6인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3050 Ti,○,○,53.5Wh,150W,24.9mm,2.25kg,총4개,○,
305,레노버 LEGION 5 15ACH R7 3060 PRO,"1,499,000",39.6cm(15.6인치),라이젠7-4세대,미포함(프리도스),16:9,○,DDR4,8GB,512GB,M.2(NVMe),RTX3060,,○,80Wh,,22.5mm,2.4kg,총6개,○,
306,삼성전자 오디세이 NT850XCJ-XC71A,"1,938,950",39.6cm(15.6인치),코어i7-10세대,윈도우10,16:9,,DDR4,16GB,512GB,M.2(NVMe),RTX2070 SUPER,○,,54Wh,185W,19.9mm,2.39kg,총4개,○,
307,레노버 요가 Slim7 Carbon13ITL5 82EV0034KR,"1,048,990",33.7cm(13인치),코어i5-11세대,미포함(프리도스),16:10,○,LPDDR4x(온보드),16GB,512GB,M.2(NVMe),Iris Xe,,,50Wh,,15mm,970g,총3개,,○
308,삼성전자 갤럭시북 NT761XDZ-G78A,"1,744,000",39.6cm(15.6인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),RTX3050 Ti,○,○,83Wh,135W,17.7mm,1.85kg,총5개,○,
309,ASUS TUF Dash F15 FX517ZE-HN034 16GB램,"1,450,000",39.62cm(15.6인치),코어i7-12세대,미포함(프리도스),16:9,,DDR5,16GB,512GB,M.2(NVMe),RTX3050 Ti,,○,76Wh,180W,20.7mm,2kg,총4개,○,
310,MSI GF시리즈 Sword GF76 A11UD 블랙 16GB램,"1,260,000",43.94cm(17.3인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3050 Ti,○,○,53.5Wh,150W,25.2mm,2.6kg,총4개,○,
311,GIGABYTE AERO 16 KE4 OLED,"2,549,000",40.8cm(16인치),코어i7-12세대,미포함(프리도스),16:10,,DDR4,16GB,1TB,M.2(NVMe),RTX3060,,,99Wh,230W,22.4mm,2.3kg,총3개,○,
